RA;CE;Unidad_primaria;Item_Moodle_principal;Evidencia_individual_de_cierre;Estado;Nota_CE;Referencia
RA1;a;UD1;ud1-practica-http;Práctica HTTP y defensa individual;NE;;
RA1;b;UD1;ud1-practica-http;Práctica HTTP y cuestionario HTTP;NE;;
RA1;c;UD1;ud1-practica-http;Práctica HTTP y defensa individual;NE;;
RA1;d;UD1;ud1-practica-http;Práctica HTTP y cuestionario HTTP;NE;;
RA1;e;UD1;ud1-practica-http;Hello Server y cuestionario entorno/TDD;NE;;
RA1;f;UD1;ud1-practica-http;Hello Server y prueba de integración;NE;;
RA1;g;UD2a;hito-individual-1;Mini Tasks y hito individual 1;NE;;
RA2;a;UD4;ud4-quiz-*;Cuestionario PHP y código GTask;NE;;
RA2;b;UD4;ud4-quiz-*;Cuestionario PHP y código GTask;NE;;
RA2;c;UD4;ud4-gtask;Código GTask defendido;NE;;
RA2;d;UD4;ud4-quiz-*;Cuestionario PHP y código GTask;NE;;
RA2;e;UD4;ud4-gtask;Código GTask ejecutable;NE;;
RA2;f;UD4;ud4-quiz-*;Cuestionario PHP y configuración de proyecto;NE;;
RA2;g;UD4;ud4-gtask;Código GTask defendido;NE;;
RA2;h;UD4;ud4-gtask;Código GTask defendido;NE;;
RA3;a;UD4;ud4-gtask;Código PHP y defensa individual;NE;;
RA3;b;UD4;ud4-gtask;Código PHP y defensa individual;NE;;
RA3;c;UD4;ud4-gtask;Código PHP y defensa individual;NE;;
RA3;d;UD4;ud4-gtask;Código PHP y defensa individual;NE;;
RA3;e;UD4;ud4-gtask;Formulario y validación en GTask;NE;;
RA3;f;UD4;ud4-gtask;Recuperación de formulario en GTask;NE;;
RA3;g;UD4;ud4-gtask;Código PHP documentado;NE;;
RA4;a;UD3;ud3-productos-mvc;Productos MVC y defensa individual;NE;;
RA4;b;UD3;ud3-productos-mvc;Productos MVC y defensa individual;NE;;
RA4;c;UD3;ud3-productos-mvc;Productos MVC y cuestionario de sesión;NE;;
RA4;d;UD3;ud3-productos-mvc;Productos MVC y cuestionario de seguridad;NE;;
RA4;e;UD3;ud3-productos-mvc;Autenticación y autorización defendidas;NE;;
RA4;f;UD3;ud3-defensa;Pruebas y depuración explicadas;NE;;
RA5;a;UD2a;ud2a-mini-tasks;Mini Tasks y hito individual 1;NE;;
RA5;b;UD2a;ud2a-book-catalog;Book Catalog y defensa individual;NE;;
RA5;c;UD3;ud3-productos-mvc;Productos MVC y renderizado defendido;NE;;
RA5;d;UD3;ud3-productos-mvc;Formularios y eventos MVC defendidos;NE;;
RA5;e;UD3;ud3-productos-mvc;Configuración de aplicación explicada;NE;;
RA5;f;UD3;ud3-productos-mvc;Estado y capas MVC defendidos;NE;;
RA5;g;UD2a;ud2a-gestion-eventos;Diseño OO y reglas de negocio;NE;;
RA5;h;UD2a;ud2a-gestion-eventos;Pruebas y documentación ejecutadas;NE;;
RA6;a;UD2a;ud2a-mini-tasks;JPA y repositorio en Mini Tasks;NE;;
RA6;b;UD2a;ud2a-mini-tasks;Conexión y persistencia defendidas;NE;;
RA6;c;UD2a;ud2a-mini-tasks;Recuperación de datos y prueba;NE;;
RA6;d;UD2a;ud2a-mini-tasks;Publicación de datos por API;NE;;
RA6;e;UD2a;ud2a-gestion-eventos;Modelo y migraciones reproducibles;NE;;
RA6;f;UD2a;ud2a-gestion-eventos;Actualización o eliminación probada;NE;;
RA6;g;UD2a;ud2a-gestion-eventos;Pruebas y documentación de persistencia;NE;;
RA7;a;UD2a;ud2a-quiz-*;Cuestionario y defensa de API;NE;;
RA7;b;UD2a;ud2a-quiz-*;Cuestionario y defensa de API;NE;;
RA7;c;UD2a;ud2a-quiz-*;Cuestionario y defensa de API;NE;;
RA7;d;UD2a;ud2a-book-catalog;Diseño REST y contrato;NE;;
RA7;e;UD2a;ud2a-book-catalog;Endpoint implementado y defendido;NE;;
RA7;f;UD2a;ud2a-book-catalog;Prueba HTTP de servicio;NE;;
RA7;g;UD2a;ud2a-gestion-eventos;Consumo o integración contrastada;NE;;
RA7;h;UD2a;ud2a-gestion-eventos;OpenAPI y prueba de conformidad;NE;;
RA8;a;UD3;ud3-quiz-*;Cuestionario MVC y defensa;NE;;
RA8;b;UD3;ud3-quiz-*;Cuestionario MVC y defensa;NE;;
RA8;c;UD3;ud3-quiz-*;Tecnología de plantillas identificada;NE;;
RA8;d;UD3;ud3-productos-mvc;Página dinámica con interacción;NE;;
RA8;e;UD3;ud3-productos-mvc;Formulario validado;NE;;
RA8;f;UD3;ud3-productos-mvc;Contenido dinámico modificado;NE;;
RA8;g;UD3;ud3-defensa;Aplicación MVC ejecutada y explicada;NE;;
RA9;a;UD6;ud6-p2b;Decisión de reutilización defendida;NE;;
RA9;b;UD6;ud6-p2b;Tecnologías de integración justificadas;NE;;
RA9;c;UD6;ud6-p2b;Recuperación y proceso de repositorios;NE;;
RA9;d;UD6;ud6-p2b;Repositorio propio e ingesta probados;NE;;
RA9;e;UD6;ud6-p2b;Librerías usadas y justificadas;NE;;
RA9;f;UD6;ud6-p2b;Servicio basado en terceros defendido;NE;;
RA9;g;UD6;ud6-p2b;Análisis BI reproducible;NE;;
RA9;h;UD6;ud6-defensa;Pruebas, depuración y documentación;NE;;
